sample_idx,names,addresses,categories,websites,phones,emails,socials,brand
53,{'primary': 'Interstate Battery'},"[{'freeform': '52 Daniel Webster Hwy', 'locality': 'Merrimack', 'region': 'NH', 'country': 'US', 'postcode': '03054'}]","{'primary': 'battery_store', 'alternate': ['auto_parts_and_supply_store', 'automotive', 'retail']}",['http://www.interstatebatteries.com/DealerLocator/AbcDealerDetails.aspx?dealerId=121&storeId=9059&name=Merrimack'],"[""6034248245""]",,,{'names': {}}
54,"{'primary': ""Carlo's Restaurant""}","[{'freeform': '668 Tuckahoe Rd', 'locality': 'Yonkers', 'region': 'NY', 'country': 'US', 'postcode': '10710'}]","{'primary': 'italian_restaurant', 'alternate': ['restaurant', 'pizza_restaurant']}",['http://www.carlosrestaurant.net/'],"[""+19147931458""]",,['https://www.facebook.com/117605828401347'],{'names': {}}
55,"{'primary': ""Sainsbury's""}","[{'freeform': 'Unit 28, Kennedy Centre, Falls Road', 'locality': 'Belfast', 'region': '', 'country': 'GB', 'postcode': 'BT11 9AE'}]","{'primary': 'korean_grocery_store', 'alternate': ['supermarket', 'retail']}",['https://stores.sainsburys.co.uk/2181/west-belfast'],"[""02890616386""]",,,{'names': {}}
56,{'primary': 'Bento Sushi'},"[{'freeform': '945 Gardiners Rd', 'locality': 'Kingston', 'region': 'ON', 'country': 'CA', 'postcode': 'K7M 7H4'}]","{'primary': 'sushi_restaurant', 'alternate': ['food', 'restaurant']}",['https://www.bentosushi.com/'],"[""6133897900""]",,,{'names': {}}
57,{'primary': 'Poltronesofa'},"[{'freeform': 'Via Ugo La Malfa, 7', 'locality': 'Palermo', 'postcode': '90146', 'region': '82', 'country': 'IT'}]","{'primary': 'furniture_store', 'alternate': ['bar']}",['http://www.poltronesofa.it/'],"[""+390916255912""]",,['https://www.facebook.com/109867670540979'],{'names': {}}
58,{'primary': 'Giant Eagle'},"[{'freeform': '3701 State Route 88', 'locality': 'Finleyville', 'region': 'PA', 'country': 'US', 'postcode': '15332'}]","{'primary': 'pharmacy', 'alternate': ['drugstore', 'retail']}",['https://www.gianteagle.com/pharmacy'],"[""7243486229""]",,,{'names': {}}
59,{'primary': 'Fan Favourites Games & Movies'},"[{'freeform': '760 Yates St', 'locality': 'Victoria', 'postcode': 'V8W 1L4', 'region': 'BC', 'country': 'CA'}]","{'primary': 'video_game_store', 'alternate': ['music_and_dvd_store', 'toy_store']}",['http://www.fanfavourites.ca/'],"[""+12505901202""]",,['https://www.facebook.com/495683433852052'],{'names': {}}
60,{'primary': 'MT caravane'},"[{'freeform': '844-A Rue J.-Ambroise-Craig', 'locality': 'Lévis', 'region': 'QC', 'country': 'CA', 'postcode': 'G7A 2N2'}]","{'primary': 'recreation_vehicle_repair', 'alternate': ['automotive']}",['http://mtcaravane.info/'],"[""4188311184""]",,,{'names': {}}
61,{'primary': 'Shell'},"[{'freeform': '423 Roundtree Dr SW', 'locality': 'Dawson', 'region': 'GA', 'country': 'US', 'postcode': '39842'}]","{'primary': 'gas_station', 'alternate': ['convenience_store', 'energy_company']}",['https://find.shell.com/us/fuel/10005516-423-roundtree-dr-sw'],"[""+12299954960""]",,['https://www.facebook.com/141737469739227'],{'names': {}}
62,{'primary': 'The Kincaid at Legacy'},"[{'freeform': '7200 Dallas Pkwy', 'locality': 'Plano', 'region': 'TX', 'country': 'US', 'postcode': '75024'}]","{'primary': 'rental_services', 'alternate': ['apartments', 'real_estate_service']}",['https://www.thekincaidlegacyplano.com/'],"[""2149347159""]",,,{'names': {}}
63,{'primary': 'San Sebastian'},"[{'freeform': '24299 Paseo de Valencia', 'locality': 'Laguna Woods', 'region': 'CA', 'country': 'US', 'postcode': '92637'}]","{'primary': 'accommodation', 'alternate': ['landmark_and_historical_building', 'property_management']}",['https://www.livesansebastian.com/'],"[""+19495583892""]",,['https://www.facebook.com/126197374122376'],{'names': {}}
64,"{'primary': 'Joseph Perkins, D.O.'}","[{'freeform': '2180 Pfingsten Rd Ste 3100', 'locality': 'Glenview', 'postcode': '60026', 'region': 'IL', 'country': 'US'}]","{'primary': 'sports_medicine', 'alternate': ['doctor', 'health_and_medical']}",['https://www.northshore.org/apps/findadoctor/physicians/joseph-anthony-perkins'],"[""8478667846""]",,,{'names': {}}
65,{'primary': 'The Bristol Hotel'},"[{'freeform': '115 Country Music Way', 'locality': 'Bristol', 'region': 'VA', 'country': 'US', 'postcode': '24201'}]","{'primary': 'resort', 'alternate': ['hotel']}",['https://www.bristolhotelva.com/?utm_medium=organic&utm_source=yext&utm_campaign=website'],"[""2766963535""]",,,{'names': {}}
66,{'primary': 'Kendra Scott'},"[{'freeform': '3101 PGA Blvd', 'locality': 'Palm Beach Gardens', 'postcode': '33410-2786', 'region': 'FL', 'country': 'US'}]","{'primary': 'jewelry_store', 'alternate': ['shopping', 'retail']}",['http://www.kendrascott.com/'],"[""+15616936592""]",,['https://www.facebook.com/335828220175680'],{'names': {}}
